t,hu,xi
15.29,-18,53
15.3,-21,61
15.31,-19,51
15.32,-27,62
15.33,-28,49
15.34,-25,48
15.35,-24,50
15.36,-24,49
15.37,-24,48
15.38,-24,49
15.39,-26,50
15.4,-25,38
15.41,-20,48
15.42,-20,47
15.43,-24,47
15.44,-16,63
15.45,-23,56
15.46,-14,49
15.47,-25,61
15.48,-23,51
15.49,-28,59
15.5,-27,58
15.51,-43,70
15.52,-47,71
15.53,-78,85
15.54,-94,102
15.55,-132,143
15.56,-173,200
15.57,-221,273
15.58,-274,341
15.59,-324,396
15.6,-259,458
15.61,-15,516
15.62,-19,419
15.63,-17,431
15.64,-23,461
15.65,-19,480
15.66,-15,509
15.67,-8,538
15.68,-14,574
15.69,-9,583
15.7,-22,623
15.71,-10,640
15.72,-21,674
15.73,-8,678
15.74,-12,722
15.75,-10,735
15.76,-14,748
15.77,-10,752
15.78,-17,742
15.79,-7,748
15.8,-12,742
15.81,-10,745
15.82,-20,729
15.83,-22,720
15.84,-13,720
15.85,-17,714
15.86,-17,689
15.87,-16,679
15.88,-19,676
15.89,-27,664
15.9,-20,642
15.91,-30,632
15.92,-19,611
15.93,-19,602
15.94,-16,587
15.95,-33,576
15.96,-19,548
15.97,-18,544
15.98,-32,528
15.99,-21,511
16,-15,497
16.01,-15,408
16.02,-25,408
16.03,-18,444
16.04,-32,433
16.05,-21,419
16.06,-24,411
16.07,-38,392
16.08,-34,372
16.09,-21,354
16.1,-33,359
16.11,-22,331
16.12,-36,324
16.13,-19,300
16.14,-22,300
16.15,-34,288
16.16,-43,289
16.17,-35,263
16.18,-41,251
16.19,-22,245
16.2,-676,243
16.21,-1588,254
16.22,-1618,753
16.23,-1597,788
16.24,-1576,774
16.25,-1567,735
16.26,-1531,697
16.27,-1513,662
16.28,-1502,599
16.29,-1492,584
16.3,-1468,546
16.31,-1460,525
16.32,-1429,488
16.33,-1412,488
16.34,-1402,454
16.35,-1381,447
16.36,-1361,417
16.37,-1336,399
16.38,-1314,383
16.39,-1310,355
16.4,-1277,345
16.41,-1268,340
16.42,-1245,320
16.43,-1220,298
16.44,-1205,291
16.45,-1184,280
16.46,-1167,258
16.47,-1143,247
16.48,-1115,240
16.49,-1108,236
16.5,-1068,233
16.51,-1044,222
16.52,-1030,219
16.53,-997,216
16.54,-981,217
16.55,-941,200
16.56,-935,209
16.57,-896,206
16.58,-882,197
16.59,-846,193
16.6,-816,199
16.61,-802,191
16.62,-773,191
16.63,-752,192
16.64,-720,182
16.65,-690,180
16.66,-678,182
16.67,-647,179
16.68,-631,181
16.69,-611,181
16.7,-579,168
16.71,-553,170
16.72,-533,164
16.73,-511,168
16.74,-488,163
16.75,-458,170
16.76,-433,166
16.77,-423,165
16.78,-391,153
16.79,-392,156
16.8,-365,143
16.81,-346,147
16.82,-326,137
16.83,-313,137
16.84,-299,126
16.85,-279,129
16.86,-268,123
16.87,-249,112
16.88,-241,109
16.89,-227,97
16.9,-216,95
16.91,-192,84
16.92,-175,90
16.93,-177,96
16.94,-157,86
16.95,-141,87
16.96,-141,90
16.97,-126,80
16.98,-127,88
16.99,-109,75
17,-114,81
17.01,-101,66
17.02,-105,69
17.03,-87,56
17.04,-78,65
17.05,-62,64
17.06,-70,81
17.07,-69,71
17.08,-60,58
17.09,-59,64
17.1,-58,61
17.11,-55,57
17.12,-52,55
17.13,-53,54
17.14,-53,50
17.15,-46,47
17.16,-48,50
17.17,-41,48
17.18,-36,47
17.19,-41,54
17.2,-35,46
17.21,-40,51
17.22,-37,45
17.23,-39,50
17.24,-33,44
17.25,-36,50
17.26,-28,46
17.27,-37,52
17.28,-38,43
17.29,-38,42
17.3,-35,42
17.31,-34,42
17.32,-33,41
17.33,-37,40
17.34,-43,38
17.35,-40,34
17.36,-34,31
17.37,-33,39
17.38,-44,38
17.39,-33,39
17.4,-31,40
17.41,-31,39
17.42,-35,47
17.43,-26,38
17.44,-34,38
17.45,-31,38
17.46,-42,48
17.47,-34,37
17.48,-37,46
17.49,-40,42
17.5,-45,47
17.51,-54,52
17.52,-68,59
17.53,-88,70
17.54,-109,92
17.55,-140,128
17.56,-177,194
17.57,-235,265
17.58,-284,323
17.59,-332,389
17.6,-256,449
17.61,-25,510
17.62,-19,411
17.63,-24,431
17.64,-24,448
17.65,-41,476
17.66,-18,498
17.67,-28,538
17.68,-24,546
17.69,-24,587
17.7,-23,596
17.71,-16,634
17.72,-18,650
17.73,-21,675
17.74,-26,700
17.75,-16,720
17.76,-21,736
17.77,-26,738
17.78,-28,741
17.79,-30,726
17.8,-25,734
17.81,-30,726
17.82,-27,727
17.83,-19,715
17.84,-18,709
17.85,-29,689
17.86,-27,684
17.87,-20,672
17.88,-26,669
17.89,-19,639
17.9,-35,639
17.91,-20,622
17.92,-35,604
17.93,-26,583
17.94,-31,571
17.95,-36,553
17.96,-39,539
17.97,-33,514
17.98,-27,517
17.99,-26,496
18,-41,484
18.01,-38,468
18.02,-28,448
18.03,-43,440
18.04,-7,434
18.05,-24,421
18.06,-13,402
18.07,-35,387
18.08,-32,382
18.09,-28,362
18.1,-19,341
18.11,-30,341
18.12,-24,333
18.13,-32,319
18.14,-44,294
18.15,-28,283
18.16,-26,276
18.17,-30,269
18.18,-29,248
18.19,-30,239
18.2,-672,236
18.21,-1608,268
18.22,-1600,756
18.23,-1585,785
18.24,-1579,770
18.25,-1549,735
18.26,-1533,689
18.27,-1509,651
18.28,-1500,630
18.29,-1491,586
18.3,-1468,560
18.31,-1435,527
18.32,-1436,512
18.33,-1418,480
18.34,-1382,467
18.35,-1375,426
18.36,-1367,410
18.37,-1351,394
18.38,-1316,366
18.39,-1303,357
18.4,-1278,323
18.41,-1260,322
18.42,-1248,306
18.43,-1224,297
18.44,-1208,289
18.45,-1175,278
18.46,-1159,256
18.47,-1140,272
18.48,-1106,248
18.49,-1098,250
18.5,-1074,231
18.51,-1043,237
18.52,-1015,229
18.53,-996,226
18.54,-957,211
18.55,-965,219
18.56,-923,204
18.57,-898,201
18.58,-875,198
18.59,-847,200
18.6,-809,195
18.61,-789,193
18.62,-757,195
18.63,-731,185
18.64,-723,187
18.65,-693,190
18.66,-673,187
18.67,-661,188
18.68,-634,187
18.69,-606,180
18.7,-584,184
18.71,-541,175
18.72,-539,184
18.73,-512,176
18.74,-482,176
18.75,-450,172
18.76,-437,173
18.77,-412,167
18.78,-398,170
18.79,-379,162
18.8,-361,153
18.81,-342,147
18.82,-328,138
18.83,-308,131
18.84,-296,130
18.85,-280,126
18.86,-257,127
18.87,-248,121
18.88,-235,112
18.89,-221,108
18.9,-203,100
18.91,-189,102
18.92,-167,95
18.93,-171,110
18.94,-144,92
18.95,-140,103
18.96,-138,94
18.97,-128,85
18.98,-109,87
18.99,-111,92
19,-103,76
19.01,-99,77
19.02,-95,69
19.03,-90,66
19.04,-73,58
19.05,-68,66
19.06,-71,77
19.07,-75,73
19.08,-67,56
19.09,-62,58
19.1,-60,58
19.11,-47,58
19.12,-51,65
19.13,-41,56
19.14,-47,62
19.15,-41,50
19.16,-41,56
19.17,-35,52
19.18,-43,57
19.19,-36,48
19.2,-39,57
19.21,-29,45
19.22,-34,54
19.23,-37,49
19.24,-34,45
19.25,-34,47
19.26,-36,44
19.27,-36,46
19.28,-38,43
19.29,-30,43
19.3,-34,46
19.31,-32,43
19.32,-33,43
19.33,-32,44
19.34,-27,43
19.35,-36,46
19.36,-28,38
19.37,-29,48
19.38,-22,42
19.39,-28,49
19.4,-24,42
19.41,-26,49
19.42,-19,43
19.43,-29,49
19.44,-30,43
19.45,-32,43
19.46,-29,39
19.47,-37,47
19.48,-39,33
19.49,-38,45
19.5,-40,49
19.51,-49,61
19.52,-61,66
19.53,-79,74
19.54,-107,93
19.55,-126,133
19.56,-172,203
19.57,-224,260
19.58,-277,334
19.59,-324,393
19.6,-259,464
19.61,-29,507
19.62,-25,424
19.63,-20,422
19.64,-33,461
19.65,-35,467
19.66,-24,491
19.67,-31,520
19.68,-21,538
19.69,-38,573
19.7,-30,609
19.71,-47,614
19.72,-55,630
19.73,-48,638
19.74,-34,676
19.75,-45,701
19.76,-44,712
19.77,-46,715
19.78,-44,710
19.79,-33,725
19.8,-28,718
19.81,-32,718
19.82,-21,714
19.83,-38,703
19.84,-42,692
19.85,-28,682
19.86,-32,659
19.87,-40,664
19.88,-32,647
19.89,-28,631
19.9,-30,629
19.91,-26,612
19.92,-33,595
19.93,-32,580
19.94,-27,557
19.95,-40,549
19.96,-19,545
19.97,-18,533
19.98,-31,518
19.99,-101,496
20,-31,496
20.01,-26,477
20.02,-29,464
20.03,-17,449
20.04,-33,438
20.05,-12,414
20.06,-20,419
20.07,-22,388
20.08,-42,378
20.09,-31,362
20.1,-36,344
20.11,-44,325
20.12,-63,314
20.13,-67,280
20.14,-38,273
20.15,-52,284
20.16,-42,243
20.17,-68,254
20.18,-79,218
20.19,-59,190
20.2,-677,202
20.21,-1598,241
20.22,-1614,736
20.23,-1600,777
20.24,-1581,735
20.25,-1568,719
20.26,-1532,666
20.27,-1523,653
20.28,-1512,599
20.29,-1495,567
20.3,-1480,529
20.31,-1448,488
20.32,-1433,501
20.33,-1442,471
20.34,-1405,428
20.35,-1385,430
20.36,-1389,410
20.37,-1352,312
20.38,-1315,361
20.39,-1302,345
20.4,-1287,338
20.41,-1256,336
20.42,-1241,327
20.43,-1230,306
20.44,-1200,302
20.45,-1179,274
20.46,-1185,264
20.47,-1156,228
20.48,-1114,239
20.49,-1100,234
20.5,-1056,243
20.51,-1039,230
20.52,-1035,231
20.53,-1015,211
20.54,-1000,184
20.55,-950,169
20.56,-941,205
20.57,-901,203
20.58,-885,190
20.59,-850,187
20.6,-826,184
20.61,-835,192
20.62,-825,154
20.63,-778,126
20.64,-768,140
20.65,-725,135
20.66,-680,141
20.67,-670,171
20.68,-645,164
20.69,-616,152
20.7,-583,149
20.71,-560,174
20.72,-523,167
20.73,-512,178
20.74,-491,167
20.75,-475,160
20.76,-443,161
20.77,-424,161
20.78,-393,153
20.79,-378,153
20.8,-370,144
20.81,-348,139
20.82,-330,136
20.83,-311,138
20.84,-299,131
20.85,-275,116
20.86,-268,126
20.87,-243,118
20.88,-235,117
20.89,-218,104
20.9,-226,108
20.91,-196,79
20.92,-204,88
20.93,-187,73
20.94,-164,73
20.95,-158,79
20.96,-140,76
20.97,-131,82
20.98,-126,81
20.99,-114,78
21,-113,77
21.01,-104,67
21.02,-103,63
21.03,-104,57
21.04,-84,45
21.05,-81,62
21.06,-83,65
21.07,-95,54
21.08,-94,34
21.09,-92,34
21.1,-94,24
21.11,-80,30
21.12,-84,31
21.13,-80,23
21.14,-61,24
21.15,-61,35
21.16,-64,34
21.17,-61,32
21.18,-60,30
21.19,-54,32
21.2,-52,36
21.21,-51,32
21.22,-57,30
21.23,-55,24
21.24,-51,27
21.25,-52,30
21.26,-45,30
21.27,-39,32
21.28,-46,40
21.29,-36,30
21.3,-42,41
21.31,-33,33
21.32,-44,45
21.33,-40,34
21.34,-48,36
21.35,-45,27
21.36,-47,28
21.37,-40,26
21.38,-43,30
21.39,-40,27
21.4,-55,28
21.41,-59,14
21.42,-45,16
21.43,-41,22
21.44,-42,28
21.45,-44,29
21.46,-43,29
21.47,-54,30
21.48,-57,23
21.49,-53,35
21.5,-54,36
21.51,-62,47
21.52,-71,50
21.53,-96,65
21.54,-126,83
21.55,-147,111
21.56,-182,183
21.57,-241,264
21.58,-282,313
21.59,-336,397
21.6,-283,442
21.61,-39,495
21.62,-36,408
21.63,-37,404
21.64,-35,433
21.65,-62,462
21.66,-37,453
21.67,-34,524
21.68,-32,530
21.69,-39,570
21.7,-35,591
21.71,-28,617
21.72,-31,656
21.73,-21,676
21.74,-33,698
21.75,-12,726
21.76,-32,746
21.77,-33,729
21.78,-33,737
21.79,-31,717
21.8,-24,732
21.81,-28,717
21.82,-23,712
21.83,-22,716
21.84,-30,694
21.85,-28,689
21.86,-15,677
21.87,-31,664
21.88,-21,648
21.89,-27,628
21.9,-30,627
21.91,-25,600
21.92,-13,598
21.93,-27,597
21.94,-18,572
21.95,-29,582
21.96,-17,547
21.97,-22,548
21.98,-25,503
21.99,-30,501
22,-21,481
22.01,-36,471
22.02,-22,451
22.03,-33,455
22.04,-23,430
22.05,-34,422
22.06,-23,408
22.07,-33,392
22.08,-33,365
22.09,-24,365
22.1,-13,351
22.11,-18,346
22.12,-29,328
22.13,-22,311
22.14,-28,311
22.15,-27,293
22.16,-30,278
22.17,-12,269
22.18,-23,267
22.19,-16,254
22.2,-675,257
22.21,-1583,275
22.22,-1608,754
22.23,-1577,796
22.24,-1576,777
22.25,-1551,722
22.26,-1535,682
22.27,-1530,653
22.28,-1515,612
22.29,-1495,576
22.3,-1464,539
22.31,-1448,534
22.32,-1427,493
22.33,-1411,472
22.34,-1398,464
22.35,-1377,436
22.36,-1354,417
22.37,-1341,404
22.38,-1310,380
22.39,-1297,362
22.4,-1285,343
22.41,-1258,343
22.42,-1249,324
22.43,-1232,312
22.44,-1191,302
22.45,-1176,296
22.46,-1156,276
22.47,-1146,264
22.48,-1113,245
22.49,-1107,243
22.5,-1074,238
22.51,-1060,232
22.52,-1018,223
22.53,-992,221
22.54,-980,214
22.55,-945,211
22.56,-924,208
22.57,-902,208
22.58,-882,218
22.59,-841,206
22.6,-829,212
22.61,-786,217
22.62,-772,204
22.63,-730,193
22.64,-709,207
22.65,-685,198
22.66,-666,197
22.67,-634,183
22.68,-639,192
22.69,-596,187
22.7,-583,187
22.71,-549,186
22.72,-533,184
22.73,-507,179
22.74,-479,175
22.75,-479,118
22.76,-438,118
22.77,-419,167
22.78,-385,162
22.79,-387,168
22.8,-367,143
22.81,-351,146
22.82,-325,134
22.83,-312,138
22.84,-290,129
22.85,-298,135
22.86,-294,102
22.87,-259,88
22.88,-225,108
22.89,-225,113
22.9,-219,98
22.91,-194,87
22.92,-188,90
22.93,-175,83
22.94,-155,89
22.95,-144,88
22.96,-135,93
22.97,-124,88
22.98,-120,83
22.99,-109,85
23,-115,80
23.01,-98,66
23.02,-101,72
23.03,-87,58
23.04,-76,64
23.05,-64,67
23.06,-67,83
23.07,-60,71
23.08,-63,71
23.09,-48,63
23.1,-61,67
23.11,-52,55
23.12,-51,58
23.13,-48,60
23.14,-46,56
23.15,-47,55
23.16,-45,53
23.17,-44,51
23.18,-43,51
23.19,-42,50
23.2,-37,50
23.21,-38,50
23.22,-30,47
23.23,-39,52
23.24,-32,45
23.25,-38,49
23.26,-30,42
23.27,-38,51
23.28,-30,43
23.29,-36,46
23.3,-29,41
23.31,-33,47
23.32,-35,42
23.33,-36,38
23.34,-36,38
23.35,-37,40
23.36,-36,40
23.37,-36,39
23.38,-34,38
23.39,-17,29
23.4,-34,32
23.41,-31,37
23.42,-34,38
23.43,-27,34
23.44,-32,44
23.45,-29,40
23.46,-35,48
23.47,-29,39
23.48,-36,48
23.49,-34,41
23.5,-46,55
23.51,-45,53
23.52,-67,70
23.53,-77,73
23.54,-111,99
23.55,-138,129
23.56,-179,194
23.57,-234,266
23.58,-287,327
23.59,-339,389
23.6,-266,445
23.61,-31,517
23.62,-29,408
23.63,-26,426
23.64,-27,451
23.65,-28,472
23.66,-19,493
23.67,-33,530
23.68,-20,551
23.69,-33,571
23.7,-24,593
23.71,-26,624
23.72,-27,653
23.73,-26,687
23.74,-28,699
23.75,-32,726
23.76,-34,725
23.77,-37,728
23.78,-32,732
23.79,-33,720
23.8,-25,722
23.81,-36,709
23.82,-25,714
23.83,-27,710
23.84,-37,696
23.85,-26,687
23.86,-35,679
23.87,-24,663
23.88,-39,666
23.89,-38,628
23.9,-33,640
23.91,-15,611
23.92,-32,601
23.93,-24,581
23.94,-30,570
23.95,-22,554
23.96,-19,547
23.97,-19,520
23.98,-28,518
23.99,-44,498
24,-28,479
24.01,-31,464
24.02,-36,465
24.03,-50,446
24.04,-36,440
24.05,-37,408
24.06,-25,390
24.07,-42,382
24.08,-26,376
24.09,-43,374
24.1,-32,352
24.11,-59,337
24.12,-49,295
24.13,-41,302
24.14,-41,278
24.15,-45,276
24.16,-36,272
24.17,-32,270
24.18,-23,253
24.19,-22,247
24.2,-667,229
24.21,-1604,263
24.22,-1627,759
24.23,-1590,785
24.24,-1570,765
24.25,-1559,722
24.26,-1526,703
24.27,-1516,652
24.28,-1505,613
24.29,-1479,588
24.3,-1460,561
24.31,-1437,531
24.32,-1420,510
24.33,-1417,465
24.34,-1407,473
24.35,-1367,423
24.36,-1361,422
24.37,-1332,394
24.38,-1330,390
24.39,-1302,363
24.4,-1290,357
24.41,-1280,325
24.42,-1246,306
24.43,-1229,294
24.44,-1205,282
24.45,-1181,283
24.46,-1155,266
24.47,-1131,259
24.48,-1109,241
24.49,-1091,237
24.5,-1076,233
24.51,-1057,227
24.52,-1028,218
24.53,-993,204
24.54,-975,193
24.55,-977,205
24.56,-927,193
24.57,-898,198
24.58,-873,184
24.59,-856,194
24.6,-833,194
24.61,-802,193
24.62,-788,182
24.63,-750,187
24.64,-728,185
24.65,-708,182
24.66,-675,174
24.67,-648,178
24.68,-634,180
24.69,-601,174
24.7,-590,168
24.71,-565,164
24.72,-552,167
24.73,-504,162
24.74,-501,173
24.75,-464,156
24.76,-451,165
24.77,-414,157
24.78,-405,162
24.79,-383,149
24.8,-372,154
24.81,-344,143
24.82,-342,143
24.83,-324,117
24.84,-308,113
24.85,-289,109
24.86,-275,107
24.87,-262,105
24.88,-245,98
24.89,-237,94
24.9,-226,89
24.91,-204,77
24.92,-184,76
24.93,-186,84
24.94,-164,77
24.95,-158,80
24.96,-143,76
24.97,-137,76
24.98,-125,72
24.99,-131,75
25,-110,62
25.01,-107,70
25.02,-114,64
25.03,-97,65
25.04,-73,50
25.05,-74,67
25.06,-74,71
25.07,-74,66
25.08,-67,55
25.09,-71,54
25.1,-68,52
25.11,-62,47
25.12,-60,47
25.13,-57,48
25.14,-57,46
25.15,-56,42
25.16,-52,40
25.17,-49,44
25.18,-49,47
25.19,-44,40
25.2,-49,44
25.21,-39,38
25.22,-49,45
25.23,-38,38
25.24,-44,43
25.25,-34,38
25.26,-43,48
25.27,-42,38
25.28,-41,34
25.29,-42,36
25.3,-39,36
25.31,-35,39
25.32,-37,39
25.33,-36,36
25.34,-37,38
25.35,-33,35
25.36,-36,38
25.37,-44,38
25.38,-34,31
25.39,-39,37
25.4,-34,27
25.41,-39,40
25.42,-31,34
25.43,-37,40
25.44,-25,33
25.45,-42,42
25.46,-32,33
25.47,-39,40
25.48,-43,39
25.49,-44,38
25.5,-50,42
25.51,-53,47
25.52,-69,62
25.53,-92,66
25.54,-114,86
25.55,-149,127
25.56,-182,188
25.57,-233,259
25.58,-286,320
25.59,-336,383
25.6,-270,452
25.61,-13,498
25.62,-27,428
25.63,-16,424
25.64,-25,462
25.65,-4,468
25.66,-29,508
25.67,-27,522
25.68,-39,551
25.69,-48,554
25.7,-40,583
25.71,-34,611
25.72,-33,647
25.73,-27,680
25.74,-27,703
25.75,-39,722
25.76,-34,723
25.77,-40,719
25.78,-38,713
25.79,-52,721
25.8,-28,692
25.81,-40,727
25.82,-12,718
25.83,-37,713
25.84,-20,692
25.85,-28,698
25.86,-11,683
25.87,-33,665
25.88,-28,656
25.89,-24,649
25.9,-25,621
25.91,-37,614
25.92,-44,594
25.93,-28,580
25.94,-31,577
25.95,-40,558
25.96,-25,530
25.97,-35,523
25.98,-38,510
25.99,-39,488
26,-24,480
26.01,-33,462
26.02,-24,455
26.03,-36,440
26.04,-35,431
26.05,-28,399
26.06,-48,398
26.07,-45,381
26.08,-29,377
26.09,-45,358
26.1,-37,344
26.11,-34,333
26.12,-21,326
26.13,-28,312
26.14,-37,299
26.15,-41,276
26.16,-21,268
26.17,-42,262
26.18,-25,254
26.19,-32,245
26.2,-667,236
26.21,-1579,273
26.22,-1611,747
26.23,-1591,793
26.24,-1567,777
26.25,-1555,747
26.26,-1536,690
26.27,-1515,666
26.28,-1496,631
26.29,-1478,596
26.3,-1467,568
26.31,-1443,534
26.32,-1431,500
26.33,-1419,484
26.34,-1386,457
26.35,-1374,450
26.36,-1356,416
26.37,-1341,396
26.38,-1312,381
26.39,-1308,366
26.4,-1271,349
26.41,-1260,340
26.42,-1249,320
26.43,-1220,308
26.44,-1205,288
26.45,-1170,287
26.46,-1151,281
26.47,-1128,254
26.48,-1116,257
26.49,-1085,247
26.5,-1076,243
26.51,-1041,232
26.52,-1022,230
26.53,-994,212
26.54,-986,214
26.55,-956,196
26.56,-932,207
26.57,-904,200
26.58,-876,184
26.59,-863,187
26.6,-830,184
26.61,-807,190
26.62,-769,184
26.63,-741,190
26.64,-720,183
26.65,-702,186
26.66,-675,185
26.67,-653,184
26.68,-617,176
26.69,-621,177
26.7,-589,158
26.71,-562,167
26.72,-535,172
26.73,-516,166
26.74,-476,166
26.75,-458,174
26.76,-439,154
26.77,-422,165
26.78,-397,159
26.79,-373,155
26.8,-364,149
26.81,-364,86
26.82,-325,86
26.83,-306,136
26.84,-290,132
26.85,-280,127
26.86,-261,121
26.87,-248,118
26.88,-239,108
26.89,-214,102
26.9,-209,111
26.91,-187,94
26.92,-170,97
26.93,-166,100
26.94,-155,99
26.95,-146,89
26.96,-135,90
26.97,-119,91
26.98,-115,93
26.99,-114,86
27,-106,78
27.01,-98,72
27.02,-95,65
27.03,-88,63
27.04,-77,59
27.05,-72,67
27.06,-73,74
27.07,-70,68
27.08,-67,59
27.09,-65,60
27.1,-55,57
27.11,-56,65
27.12,-59,55
27.13,-65,50
27.14,-46,38
27.15,-46,55
27.16,-44,49
27.17,-43,54
27.18,-35,49
27.19,-42,53
27.2,-36,44
27.21,-45,49
27.22,-45,0
27.23,-42,0
27.24,-40,40
27.25,-38,40
27.26,-45,42
27.27,-45,34
27.28,-42,33
27.29,-40,36
27.3,-37,36
27.31,-38,37
27.32,-41,39
27.33,-32,35
27.34,-34,42
27.35,-29,39
27.36,-33,42
27.37,-28,39
27.38,-37,44
27.39,-28,35
27.4,-33,39
27.41,-26,37
27.42,-32,44
27.43,-32,39
27.44,-34,34
27.45,-36,35
27.46,-31,39
27.47,-37,39
27.48,-37,41
27.49,-42,41
27.5,-50,50
27.51,-56,48
27.52,-77,57
27.53,-89,66
27.54,-106,91
27.55,-143,135
27.56,-177,189
27.57,-236,269
27.58,-288,323
27.59,-337,388
27.6,-264,450
27.61,-31,515
27.62,-30,416
27.63,-32,418
27.64,-34,433
27.65,-56,459
27.66,-39,479
27.67,-44,507
27.68,-43,533
27.69,-48,555
27.7,-43,583
27.71,-45,619
27.72,-48,628
27.73,-42,660
27.74,-44,694
27.75,-33,700
27.76,-40,727
27.77,-28,737
27.78,-46,728
27.79,-26,720
27.8,-30,719
27.81,-21,704
27.82,-38,720
27.83,-26,701
27.84,-34,691
27.85,-29,680
27.86,-39,668
27.87,-42,657
27.88,-35,653
27.89,-24,634
27.9,-30,612
27.91,-32,603
27.92,-37,591
27.93,-33,581
27.94,-37,570
27.95,-43,560
27.96,-22,539
27.97,-38,528
27.98,-25,497
27.99,-34,496
28,-26,479
28.01,-35,471
28.02,-17,459
28.03,-42,444
28.04,-26,417
28.05,-44,417
28.06,-25,394
28.07,-37,408
28.08,-35,367
28.09,-34,366
28.1,-33,354
28.11,-39,342
28.12,-28,323
28.13,-28,323
28.14,-13,306
28.15,-23,293
28.16,-32,272
28.17,-20,279
28.18,-17,257
28.19,-14,246
28.2,-667,247
28.21,-1582,281
28.22,-1612,771
28.23,-1599,801
28.24,-1555,795
28.25,-1543,730
28.26,-1529,719
28.27,-1506,666
28.28,-1509,623
28.29,-1488,574
28.3,-1467,568
28.31,-1450,533
28.32,-1428,498
28.33,-1413,478
28.34,-1377,461
28.35,-1380,426
28.36,-1352,411
28.37,-1337,394
28.38,-1328,371
28.39,-1303,360
28.4,-1272,353
28.41,-1255,343
28.42,-1240,323
28.43,-1235,319
28.44,-1197,299
28.45,-1165,292
28.46,-1157,272
28.47,-1137,265
28.48,-1116,247
28.49,-1091,254
28.5,-1068,228
28.51,-1054,235
28.52,-1010,230
28.53,-993,234
28.54,-968,224
28.55,-940,216
28.56,-915,210
28.57,-909,215
28.58,-877,212
28.59,-841,215
28.6,-814,194
28.61,-777,195
28.62,-770,209
28.63,-723,199
28.64,-714,203
28.65,-700,191
28.66,-659,205
28.67,-632,194
28.68,-631,196
28.69,-587,191
28.7,-560,188
28.71,-553,187
28.72,-530,191
28.73,-499,171
28.74,-486,173
28.75,-451,171
28.76,-432,169
28.77,-415,169
28.78,-392,163
28.79,-369,162
28.8,-357,157
28.81,-336,149
28.82,-324,146
28.83,-309,143
28.84,-290,143
28.85,-272,140
28.86,-251,125
28.87,-245,129
28.88,-227,119
28.89,-220,119
28.9,-203,107
28.91,-188,111
28.92,-164,97
28.93,-166,115
28.94,-153,98
28.95,-141,91
28.96,-131,96
28.97,-123,88
28.98,-113,89
28.99,-109,88
29,-101,79
29.01,-95,79
29.02,-92,72
29.03,-90,67
29.04,-69,64
29.05,-59,73
29.06,-65,87
29.07,-56,74
29.08,-59,73
29.09,-52,71
29.1,-56,71
29.11,-45,65
29.12,-45,67
29.13,-39,59
29.14,-43,66
29.15,-40,56
29.16,-41,59
29.17,-38,57
29.18,-38,54
29.19,-36,51
29.2,-44,48
29.21,-32,50
29.22,-34,54
29.23,-31,51
29.24,-36,50
29.25,-33,49
29.26,-23,48
29.27,-32,56
29.28,-25,49
29.29,-34,68
29.3,-26,48
29.31,-30,52
29.32,-24,48
29.33,-32,61
29.34,-22,43
29.35,-30,54
29.36,-22,44
29.37,-29,51
29.38,-17,46
29.39,-25,48
29.4,-28,44
29.41,-26,48
29.42,-27,44
29.43,-28,45
29.44,-26,44
29.45,-29,43
29.46,-30,46
29.47,-29,46
29.48,-31,47
29.49,-29,51
29.5,-37,62
29.51,-39,65
29.52,-59,77
29.53,-75,78
29.54,-104,103
29.55,-125,132
29.56,-171,207
29.57,-217,268
29.58,-275,338
29.59,-323,393
29.6,-257,460
29.61,-22,512
29.62,-25,419
29.63,-22,430
29.64,-25,448
29.65,-24,475
29.66,-23,501
29.67,-25,532
29.68,-32,553
29.69,-20,582
29.7,-25,603
29.71,-23,645
29.72,-19,660
29.73,-20,694
29.74,-11,705
29.75,-11,736
29.76,-11,743
29.77,-31,748
29.78,-14,746
29.79,-25,750
29.8,-19,724
29.81,-25,725
29.82,-20,717
29.83,-27,722
29.84,-8,700
29.85,-24,685
29.86,-29,680
29.87,-30,666
29.88,-19,660
29.89,-24,635
29.9,-24,639
29.91,-27,613
29.92,-16,603
29.93,-32,595
29.94,-28,581
29.95,-18,555
29.96,-20,556
29.97,-13,545
29.98,-30,526
29.99,-24,518
30,-24,504
30.01,-5,472
30.02,-22,465
30.03,-30,442
30.04,-15,435
30.05,-32,411
30.06,-21,409
30.07,-25,397
30.08,-15,384
30.09,-13,360
30.1,-25,360
30.11,-29,334
30.12,-25,318
30.13,-20,332
30.14,-30,320
30.15,-35,300
30.16,-10,287
30.17,-37,282
30.18,-10,255
30.19,-17,266
30.2,-655,247
30.21,-1586,274
30.22,-1606,749
30.23,-1596,820
30.24,-1562,780
30.25,-1552,723
30.26,-1532,689
30.27,-1510,659
30.28,-1488,611
30.29,-1491,580
30.3,-1470,566
30.31,-1452,539
30.32,-1410,511
30.33,-1400,473
30.34,-1380,460
30.35,-1379,437
30.36,-1355,430
30.37,-1333,389
30.38,-1322,383
30.39,-1299,361
30.4,-1284,362
30.41,-1246,336
30.42,-1246,321
30.43,-1208,305
30.44,-1200,297
30.45,-1178,277
30.46,-1161,270
30.47,-1138,269
30.48,-1107,256
30.49,-1090,242
30.5,-1078,239
30.51,-1050,238
30.52,-1030,226
30.53,-1001,228
30.54,-966,212
30.55,-948,210
30.56,-912,209
30.57,-897,217
